token1,token2,co_docs,PMI,NPMI,PHI,src_node_df,src_node_tf,src_node_cluster,src_node_centrality,src_node_svd_c1,src_node_rank,dst_node_df,dst_node_tf,dst_node_cluster,dst_node_centrality,dst_node_svd_c1,dst_node_rank
recipe,일주일반찬,6,4.815228477622958,0.9436239204137845,0.8651421548001417,8,8,9,13.240857195085683,0.1928866719408141,0.006448939773308862,6,6,9,13.996764674629073,0.08170409637242194,-0.07297635631384065
recipe,요리영상,6,4.815228477622958,0.9436239204137845,0.8651421548001417,8,8,9,13.240857195085683,0.1928866719408141,0.006448939773308862,6,6,9,13.996764674629073,0.08170409637242194,-0.07297635631384065
재료는,도먹걸,11,4.24270929882737,0.9435005129435917,0.8791850176582726,13,13,4,12.25911479713851,0.4626313066271431,0.2645937564515714,12,35,6,7.872136638883447,0.23402746826662676,0.10293114705153972
재료는,집밥그램,11,4.24270929882737,0.9435005129435917,0.8791850176582726,13,13,4,12.25911479713851,0.4626313066271431,0.2645937564515714,12,12,6,7.872136638883447,0.23402746826662676,-0.18696383324512642
식사기록,식단공유,10,4.314453202559788,0.9395412438957205,0.8688715716914356,12,12,5,20.255595548065635,0.4763973785102491,0.7882387401808284,11,11,5,19.985702650496897,0.44887051468628797,0.7162084003488233
큐브닭가슴살요리,닭가슴살레시피,5,4.948759862742169,0.9363372779118774,0.8442931701903921,7,7,3,14.456945724393572,0.7144118113105136,0.2900922926258206,5,5,3,14.63345165346789,0.6324527545633932,0.18365653130451004
닭가슴살요리,하림,5,4.948759862742169,0.9363372779118774,0.8442931701903921,7,7,3,14.45694572439357,0.7144118113105136,0.2900922926258205,5,8,3,13.989223365084955,0.6013771774060483,0.16225993485270662
닭가슴살요리,닭가슴살레시피,5,4.948759862742169,0.9363372779118774,0.8442931701903921,7,7,3,14.45694572439357,0.7144118113105136,0.2900922926258205,5,5,3,14.63345165346789,0.6324527545633932,0.18365653130451004
동물복지닭가슴살,하림닭가슴살,5,4.948759862742169,0.9363372779118774,0.8442931701903921,7,7,3,14.45694572439357,0.7144118113105136,0.2900922926258205,5,5,3,14.63345165346789,0.6324527545633932,0.18365653130451004
동물복지닭가슴살,동물복지IFF큐브닭가슴살,5,4.948759862742169,0.9363372779118774,0.8442931701903921,7,7,3,14.45694572439357,0.7144118113105136,0.2900922926258205,5,5,3,14.63345165346789,0.6324527545633932,0.18365653130451004
동물복지닭가슴살,하림,5,4.948759862742169,0.9363372779118774,0.8442931701903921,7,7,3,14.45694572439357,0.7144118113105136,0.2900922926258205,5,8,3,13.989223365084955,0.6013771774060483,0.16225993485270662
동물복지닭가슴살,닭가슴살레시피,5,4.948759862742169,0.9363372779118774,0.8442931701903921,7,7,3,14.45694572439357,0.7144118113105136,0.2900922926258205,5,5,3,14.63345165346789,0.6324527545633932,0.18365653130451004
닭가슴살요리,하림닭가슴살,5,4.948759862742169,0.9363372779118774,0.8442931701903921,7,7,3,14.45694572439357,0.7144118113105136,0.2900922926258205,5,5,3,14.63345165346789,0.6324527545633932,0.18365653130451004
큐브닭가슴살요리,하림닭가슴살,5,4.948759862742169,0.9363372779118774,0.8442931701903921,7,7,3,14.456945724393572,0.7144118113105136,0.2900922926258206,5,5,3,14.63345165346789,0.6324527545633932,0.18365653130451004
