token,df,tf,cluster,cluster_centrality,svd_c1,rank_score
메인,6,6,4,10.341142913334226,0.4415829966332601,-0.4346877562072214
소고기,7,8,4,10.559712680352767,0.3018216643199793,-0.4355767965375751
회사도시락,10,10,4,9.77950956764988,0.2146880488639726,-0.4405529868086786
토마토,8,10,2,8.719093909943869,0.4778876879762342,-0.44959859196236834
깻잎,6,7,4,10.743488453002671,0.3152076859599356,-0.4501529297834329
쓰고,6,6,6,10.287048581954895,0.4128508799751722,-0.4515041559517878
전용,7,9,4,9.466873594765303,0.42063674697917985,-0.4535196709625873
귀여운,10,10,0,8.334717578459774,0.4199122296156013,-0.45704929473212735
이것저것,6,6,6,10.36305290206121,0.38312364917249064,-0.45905748785736555
지난번,5,5,4,11.560661088204867,0.25748720215313736,-0.45983980776572403
kfood,5,5,4,11.458483348467244,0.2715030769336121,-0.4612279161599503
파프리카,7,8,4,9.969334838530212,0.32018259577348185,-0.47145319292556004
사과,9,9,4,9.81873565506043,0.20565005682839263,-0.47588772818758135
맞춤,5,6,4,10.96201137531638,0.28704239981624957,-0.4806199595391348
Lunchbox,15,15,4,7.930429850299648,0.043243705116265754,-0.4835586118236828
먹스타,9,9,4,9.694777113337869,0.19850428952285365,-0.4883140080723565
