token,df,tf,cluster,cluster_centrality,svd_c1,rank_score
instafood,11,11,3,9.258782539941866,0.06982173648537852,-0.3468652076012675
애호박,7,9,3,9.580228436196144,0.3191923040787848,-0.3474183963518694
부드럽고,5,5,4,10.095627521129583,0.47191674486188123,-0.34830874193348904
몸이,7,7,3,10.48039051917252,0.23651254184492707,-0.3488269584525316
아들,10,11,3,9.010193619955476,0.1524474576884142,-0.3539567320109944
등등,5,5,3,11.544139627034864,0.2408201351396758,-0.35501389824727697
전날,6,7,3,10.987711387971292,0.2065066809289174,-0.3557610387534484
제대로,7,8,0,8.918105534582155,0.4222684172484202,-0.3581322725728821
뚜껑,8,9,0,7.983663506069505,0.45684242900019184,-0.3657962299748354
끓인,9,9,0,8.443709226748602,0.3218712927429006,-0.3682247973004707
적당히,5,5,3,10.75535406570554,0.3215497467358514,-0.37206867307635144
지난번,5,5,3,11.484754793316231,0.2094019830536733,-0.3735075860555069
담은,5,5,3,11.39421344484553,0.2132173316020378,-0.37796721963270563
사랑,6,6,3,10.889134838231955,0.1911061292446244,-0.3821955879520645
chouchouatti,5,5,5,11.216915169593692,0.22970473705328337,-0.38256188952650283
아빠가,8,8,0,8.720462090235735,0.3237403808918758,-0.38894928507305415
22일,5,6,6,10.630061912817462,0.2753306379643016,-0.3892724716213301
언제,8,8,3,9.140475899794254,0.2561275464253499,-0.3911705386546678
23일,10,10,6,7.549808084349614,0.3142780261692106,-0.39246150320746853
사과,9,9,3,9.160024924180691,0.16088813842273153,-0.3929754772742752
굽고,6,6,6,9.690501061581388,0.3464322913841263,-0.3931264437864191
떡갈비,9,10,6,8.380959836374824,0.24738492211439583,-0.39411235296862207
오이무침,5,5,3,11.18784224381227,0.19553905813797126,-0.40023734372164155
별로,5,5,1,9.040579208577585,0.514354823885945,-0.40120292006896413
잡곡밥,6,6,3,10.297857499898658,0.236714002828487,-0.4018220482887013
마침,5,5,6,10.661385181697895,0.2543502576130028,-0.40935740196274545
kfood,5,5,3,11.030858378241465,0.19789732615946057,-0.40992343490937033
온더테이블,5,5,3,11.112196248131237,0.18288247897011325,-0.41123540491920285
처음,8,8,3,8.01052269432152,0.37483913053835827,-0.41419532503466094
금요일,9,11,5,8.026993363945225,0.2256488343973168,-0.415765234421857
도시락과,8,8,6,8.931734942188514,0.23267322949159716,-0.41625427377586965
수도,5,5,0,9.43266944866918,0.4222194815285309,-0.416594819608451
메인,6,6,3,9.252912331307222,0.35666001467201414,-0.4184490473538564
앞으로,5,5,3,10.619872395210358,0.23430238260124722,-0.42140647358843936
만들면,5,5,6,9.793611702799396,0.35600662691644075,-0.4222255947707323
홈메이드,6,6,3,10.593317783725695,0.14645574000073477,-0.42298085145483294
김치찌개,5,5,3,10.75816860496236,0.2059773332910792,-0.4249203652862181
먹으니,6,6,0,8.989027062971541,0.3650422332940612,-0.43270331605528006
조합,8,8,3,7.9445674082608795,0.3438204048738733,-0.43295639358661575
최고,5,6,5,9.628740568270965,0.3287766772086266,-0.4334288212009681
오늘의메뉴,6,6,3,9.716530197171464,0.2463834927039343,-0.4372607670347889
먹방,9,9,3,8.579467180553547,0.14978056898789235,-0.4378975419235488
with,9,10,3,8.530458880021675,0.12869877272682995,-0.43833118993918835
oben365,23,23,3,1.285953304987451,0.0005632858286787678,-0.43875966110885223
김치볶음밥,9,14,3,7.017954062390748,0.24044319400525047,-0.44037874133029337
3분,5,5,0,9.887227663996175,0.29776781733410645,-0.442534020537677
자취일기,6,6,3,9.903279983612206,0.2005517841891013,-0.44548603933095726
구워서,7,7,6,7.50339077542302,0.46939284293647277,-0.4461513708567487
주세요지니벤또,8,8,3,8.685839004031376,0.19872668163923657,-0.44870235787246754
점심시간,7,7,3,9.718199364254641,0.12747169510853842,-0.45115721009734744
메추리알,5,6,6,9.79033662034127,0.24281660133945532,-0.4617974268706055
메뉴가,6,6,5,8.658059660547337,0.339632227384519,-0.4670689151333245
21일,5,6,6,8.889925399274293,0.36030515103177774,-0.4696378776817921
직접,5,5,0,9.603312685346385,0.27754518605312484,-0.47129113727119076
반찬이,7,9,3,9.020602223243799,0.1321333011102733,-0.4716618126542818
밥이랑,5,5,0,9.4244093128994,0.30159587934746407,-0.4725245563638756
아빠,8,9,3,8.17379935433043,0.17283364161810646,-0.4831063711884871
characterfood,16,16,3,4.771231166056057,3.4617966292782854e-05,-0.48389151886135773
굴소스,7,7,5,7.981883865550382,0.30704131119712635,-0.48784379577712755
반사,5,5,3,10.315412803697805,0.131180117616093,-0.48962166478782565
저녁에,9,9,1,6.5347919440476065,0.3414033054169097,-0.4902043206352552
케이터링,6,7,3,9.807732998573947,0.08924960231992714,-0.49052088924417614
전용,7,9,3,7.574408319643628,0.30652766684134747,-0.4908225050974103
당일,7,8,3,8.488826436053968,0.1953450752768312,-0.4917310937388184
간단한,5,5,5,8.924223445577407,0.3215293546448093,-0.49768638722562436
향이,6,6,4,7.568555701006756,0.43262916249276223,-0.49912140343447964
계란을,5,5,3,8.01482512770017,0.4501283176586548,-0.5010439242035334
언제든,6,6,3,9.198041584853167,0.18238065580939172,-0.5022026977511322
보내주신,5,5,3,9.272959329328774,0.2586996407960861,-0.5026016969623366
신나게,9,9,3,7.725067132935303,0.13536074475736398,-0.5031243505741931
치킨마요,5,7,3,8.926522863787119,0.249973897739045,-0.5051625071806738
엄마의,6,7,0,8.910768084095197,0.18667539896627586,-0.5073332234525338
이것저것,6,6,5,8.191990973016145,0.32112974311325954,-0.5075315563525297
많아서,10,10,5,5.627313047033269,0.3487005352219439,-0.5085380530896473
쓰고,6,6,5,7.978693158744548,0.3465991077743076,-0.510473165219347
사진,8,8,3,7.501849060945556,0.23116523233842184,-0.515030950185234
메뉴를,6,8,5,8.344516696496083,0.22027892858022682,-0.5181485569047144
계란이,6,6,3,7.816489814020109,0.34009711230276163,-0.5245839246794314
엄마표도시락,7,7,3,8.747049585506508,0.09482692705626408,-0.5327573702805368
